run,ipm,lambda,ipm_type,habitat
589,lag_cf,0.983,lag,cf
590,lag_cf,0.982,lag,cf
591,lag_cf,0.933,lag,cf
592,lag_cf,0.966,lag,cf
593,lag_cf,0.979,lag,cf
594,lag_cf,0.976,lag,cf
595,lag_cf,0.989,lag,cf
596,lag_cf,0.978,lag,cf
597,lag_cf,0.988,lag,cf
598,lag_cf,0.978,lag,cf
599,lag_cf,1.01,lag,cf
600,lag_cf,0.962,lag,cf
601,lag_cf,0.987,lag,cf
602,lag_cf,1.004,lag,cf
603,lag_cf,0.992,lag,cf
604,lag_cf,1.01,lag,cf
605,lag_cf,0.992,lag,cf
606,lag_cf,0.988,lag,cf
607,lag_cf,1.013,lag,cf
608,lag_cf,0.951,lag,cf
609,lag_cf,0.969,lag,cf
610,lag_cf,0.993,lag,cf
611,lag_cf,0.967,lag,cf
612,lag_cf,0.985,lag,cf
613,lag_cf,0.954,lag,cf
614,lag_cf,0.998,lag,cf
615,lag_cf,0.998,lag,cf
616,lag_cf,0.982,lag,cf
617,lag_cf,0.985,lag,cf
618,lag_cf,0.978,lag,cf
619,lag_cf,0.988,lag,cf
620,lag_cf,0.98,lag,cf
621,lag_cf,0.962,lag,cf
622,lag_cf,0.992,lag,cf
623,lag_cf,0.967,lag,cf
624,lag_cf,1.003,lag,cf
625,lag_cf,1.007,lag,cf
626,lag_cf,0.968,lag,cf
627,lag_cf,1.013,lag,cf
628,lag_cf,0.997,lag,cf
629,lag_cf,1.035,lag,cf
630,lag_cf,1.025,lag,cf
631,lag_cf,0.963,lag,cf
632,lag_cf,1.026,lag,cf
633,lag_cf,1.043,lag,cf
634,lag_cf,1.004,lag,cf
635,lag_cf,0.988,lag,cf
636,lag_cf,0.953,lag,cf
637,lag_cf,0.97,lag,cf
638,lag_cf,0.965,lag,cf
639,lag_cf,0.971,lag,cf
640,lag_cf,0.979,lag,cf
641,lag_cf,0.963,lag,cf
642,lag_cf,0.978,lag,cf
643,lag_cf,0.985,lag,cf
644,lag_cf,0.972,lag,cf
645,lag_cf,0.97,lag,cf
646,lag_cf,0.98,lag,cf
647,lag_cf,0.928,lag,cf
648,lag_cf,0.958,lag,cf
649,lag_cf,0.981,lag,cf
650,lag_cf,0.936,lag,cf
651,lag_cf,0.954,lag,cf
652,lag_cf,0.962,lag,cf
653,lag_cf,0.956,lag,cf
654,lag_cf,0.949,lag,cf
655,lag_cf,0.95,lag,cf
656,lag_cf,0.969,lag,cf
657,lag_cf,0.962,lag,cf
658,lag_cf,0.983,lag,cf
659,lag_cf,0.954,lag,cf
660,lag_cf,0.98,lag,cf
661,lag_cf,0.96,lag,cf
